0	20	282	180	10	3943	976	3032	4524	227	514	149	124	36	14	1	51850	3587	73561	27026	57853	33385	8131	9358	1025	26504	21250	45024	7240	4555	7227	1517	5213	2220	1685	794	2071	437	190	125	61	86	4	1032	4456	1100	3064	245	492	555	474	42	73	12	475	10	834	172	510	257	182	105	11	24	31	33	17	13	5	10	1	1	0	0
5	64	660	1895	121	5116	34873	4882	35973	178	3813	6123	764	133	625	43	34296	451024	71257	29170	257086	923371	3609	38720	146955	34270	151984	250383	4093	26075	179873	1019	20566	8926	36675	218	4914	13183	27833	383	874	128	1414	789	24559	47291	8379	73	1455	15899	5795	2	2302	1790	1321	3385	4456	748	1143	6665	311	1625	2182	23	486	417	7	201	653	86	56	12	78	6
7	40	538	711	69	6135	7606	4447	17013	201	2899	1950	389	146	300	24	58952	55624	93991	29343	175607	247734	5829	40324	25578	32577	84272	131906	4810	25382	75682	1443	14791	4964	10287	300	7315	8157	7268	328	254	286	502	925	20498	16995	5375	112	1605	9449	3521	3	1631	533	1261	759	2556	835	765	2896	344	1393	782	24	350	206	23	233	259	75	41	15	40	4
9	53	589	1308	70	5129	20153	5317	26641	221	2425	2987	668	113	275	11	39843	218920	82835	41326	214071	570333	4802	27755	60518	39742	117213	221109	6453	17638	96618	1343	19220	10715	26264	374	4654	6223	10481	376	870	128	453	1569	18341	24074	8276	199	1685	7454	4096	20	667	382	1006	1139	4468	624	1656	4080	394	1005	754	56	268	384	24	101	142	78	23	7	13	0
27	17	249	129	7	2825	582	2837	3471	138	295	91	101	8	7	0	25925	1750	55581	28744	36290	21754	3551	4342	532	29072	19872	35956	5075	1903	3532	1325	3981	1845	1199	313	405	262	80	84	34	7	4	1621	2955	1049	1638	268	138	151	82	13	0	0	181	11	965	107	336	190	35	24	3	9	2	10	0	0	0	2	0	0	0	0
30	19	267	159	12	3566	784	2785	3940	206	614	167	107	19	17	1	45351	2568	65643	23270	46552	26093	7568	11778	1024	26879	19596	38306	6523	4628	7875	1333	4594	1615	1249	805	944	748	212	148	29	12	12	1089	5556	1532	2463	229	299	404	247	52	74	14	681	34	765	202	414	416	92	43	10	27	22	22	2	6	2	1	0	1	0	0
61	11	185	55	0	2016	165	2196	1724	132	0	0	63	0	0	0	17215	330	43557	23283	17644	7242	3089	0	0	22817	11501	18355	5207	0	0	951	2396	1170	516	401	0	0	0	60	17	0	0	1211	0	0	1035	251	0	0	0	29	0	0	0	0	507	0	251	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
67	12	200	56	10	2881	139	2294	1533	163	509	64	37	42	15	2	36274	205	56501	22057	18967	4932	5656	8728	172	21411	7059	16690	5614	4821	2994	1219	1350	692	231	531	2372	492	82	16	5	121	5	908	4490	415	1043	224	631	510	236	28	155	10	402	4	349	204	112	81	190	117	8	2	15	11	21	32	6	6	2	4	1	0
71	10	173	35	10	2109	59	2105	1020	145	441	42	21	27	19	0	19058	52	45583	22748	11088	2268	3605	5769	70	20348	5955	11165	5709	3774	1718	1060	772	580	80	481	1256	480	55	10	5	38	10	1005	4446	372	683	247	505	664	88	31	0	0	368	2	296	173	93	47	133	115	18	3	12	5	11	0	0	4	3	0	0	0
75	14	171	90	1	1477	352	2353	2066	107	21	12	68	0	0	0	10582	935	35319	29279	16990	11424	2101	100	66	23908	9783	25462	4513	95	234	911	2019	1666	714	267	0	0	0	46	28	0	0	1525	309	132	1103	306	0	0	0	19	0	0	6	0	603	9	262	18	0	0	0	10	0	0	0	0	0	0	0	0	0	0
82	16	195	112	8	2001	455	2327	2506	112	247	99	73	13	5	1	18808	1196	40766	26249	24070	14182	2890	2797	538	23929	11432	26987	4465	1212	2885	949	2601	1635	737	310	369	97	55	78	25	11	0	1361	2456	912	1163	259	385	113	127	18	40	11	129	15	495	41	288	157	62	13	3	12	2	23	7	6	2	5	0	1	0	0
