545	36	980	603	27	36160	6280	28962	30162	3011	2402	804	744	124	54	2	1485283	45830	1408967	777869	1047921	435023	232789	124973	11189	739545	282802	825733	215203	30204	68021	44240	76363	35474	20345	31360	12005	3276	1510	1812	546	357	32	83033	55188	16666	85141	19201	4358	3222	3536	4069	217	59	6763	203	18432	2046	10671	2732	1458	393	69	574	136	213	102	21	7	19	6	5	0	0
916	1	35	0	0	568	0	980	0	27	0	0	0	0	0	0	5712	0	29182	36160	0	0	777	0	0	28962	0	0	2402	0	0	744	0	0	0	54	0	0	0	0	0	0	0	3011	0	0	0	124	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	48	1535	893	235	35616	9277	49375	47711	4808	16302	5680	2244	1822	1887	452	650871	62654	1797981	1417817	989696	644178	212185	379323	63065	1129740	485733	1381555	389563	222600	351704	64682	146724	110013	53721	39574	130287	73975	35097	4797	2580	9164	5622	115029	409786	116618	123786	30958	71311	91907	36639	5153	40793	7425	40126	4226	40390	17135	28541	25670	23045	23113	6687	1993	4637	4261	3246	9344	6723	2934	439	1529	2188	454
917	8	490	7	21	14656	0	14327	644	2127	1812	9	62	425	24	23	299986	0	705494	363522	13845	0	104039	44046	0	390028	13237	16967	166786	32901	564	26628	4910	2127	0	21640	31225	999	0	169	0	4114	0	36082	42785	392	1866	14202	11945	1617	108	3435	2134	2	4592	1	1082	2183	1027	81	4836	602	6	110	91	34	1174	780	23	132	4	254	23	11
146	49	1695	879	297	47342	8484	47917	49687	4775	22889	6598	2110	2282	2665	677	1319668	51922	1989133	1182803	1184099	614642	290586	693083	65474	1128301	520154	1302673	329614	341536	452152	63941	149540	87757	46612	39013	208956	113682	43719	4325	1948	14044	7909	106819	505228	134058	116437	25895	71291	147273	41795	4499	71934	9836	52762	5660	39985	22246	23206	28625	26351	33025	11110	1529	6875	3762	3693	14863	10754	3690	968	2143	3772	752
187	74	2090	2293	408	47613	42397	61212	108560	5718	29070	16288	4984	2486	5329	810	1113223	535699	2051708	1563042	2092671	2633233	263439	856051	339093	1364971	1006591	2913504	395821	380392	1021600	69071	287692	233400	210226	39365	203191	246723	147744	7863	14122	10209	41461	131484	622225	293168	247622	32475	83823	242168	80049	5674	83832	19621	67013	14307	80344	25071	57245	65958	30226	53242	21453	3971	10128	11795	3683	14353	23777	6580	1205	2131	5476	790
188	118	2737	6030	873	57687	184682	65634	242931	5183	55578	65383	7060	3800	14668	2183	1134392	3892348	2177529	1556283	4532012	9933614	229321	1446571	2337265	1279645	1935703	5451353	324322	701707	3789886	63601	425431	279505	528945	27145	295689	587015	889144	10093	16799	14745	105364	119480	1040086	1003117	406148	24641	110237	675215	250230	3353	206161	121714	96658	92460	119648	39027	58505	169847	32400	113236	124534	2999	25057	17753	3351	31199	82177	9208	7834	3322	18413	2582
269	51	1437	1038	237	37512	12199	44950	47149	4479	17795	6065	1793	1660	2135	426	1069552	95548	1662181	1187647	1036657	710533	260866	569356	76855	1089319	384012	1391039	323578	228455	397642	58403	106161	89364	47831	40065	142166	107590	40381	2515	2380	8115	9269	109412	418614	92299	121976	27256	56308	98031	33821	5114	44633	6671	48451	4006	33466	17279	22460	20003	22553	25657	6431	1278	3881	3184	2977	9207	7749	2634	363	1401	2240	387
461	47	1532	951	130	47777	11558	44262	51419	4994	12697	3654	1817	1361	813	190	1507018	96973	1974794	1103014	1386894	809099	353353	492574	49302	1069563	504255	1396911	324115	193205	330014	65919	140698	79285	52839	47631	147482	51111	20007	3582	1877	11465	2049	103746	261142	61109	140268	26409	37948	43558	32574	5588	24896	4209	39455	995	38419	12643	22722	15061	18687	13980	1748	1310	2077	2306	2986	6292	2055	1545	129	1001	748	150
642	71	2412	2089	396	59013	35115	63340	121571	6198	31251	17514	4799	3210	3768	758	1181608	388784	2468369	1651268	2660508	2675096	287221	819144	342473	1319256	1474589	2846456	440729	483167	1257247	75723	345400	209378	191841	42323	253134	166561	136813	9707	7785	16655	10925	121805	629903	398789	263812	30893	104694	226841	123966	4936	79345	27067	64501	22981	90412	29473	55243	76217	34284	48710	22541	3296	11019	11320	4714	16727	14173	6059	1443	2883	3718	717
692	82	2887	2809	512	81260	55975	65632	168261	6214	44160	25372	6938	3775	6051	1162	2148470	747914	2749687	1512696	4352045	4390530	328056	1305260	580440	1226206	2067553	3363842	395015	802299	2004318	71856	533079	291627	318900	38954	328166	289495	247106	14448	17660	17307	22383	120910	737122	563314	301888	28497	113780	404979	157203	4298	133423	43396	75962	27446	109595	38068	71435	117627	37653	74062	41000	4192	19305	18488	4006	23684	27324	9252	2919	3353	7725	1407
75	16	742	67	53	25471	117	20967	4740	2572	4682	223	282	572	141	79	718363	91	1175906	495155	129693	10169	170752	164344	340	551869	65641	124425	187585	70336	16734	40357	24207	9422	1091	23185	53081	6819	411	900	36	4470	66	51113	111655	5270	12958	15299	15426	9007	2043	2736	8993	235	13177	47	5082	4482	3491	1331	6110	2142	137	265	579	260	1157	1776	230	319	42	383	161	60
918	15	824	73	32	25439	170	25123	6481	3211	3055	184	447	553	71	30	533450	207	1322319	683673	172229	19154	171279	85070	448	605057	115420	172474	255058	66409	14135	47277	39444	17316	2368	29913	46561	4081	260	1509	168	4912	56	59261	72585	6491	21005	19466	16762	5125	2874	3824	3526	121	8178	48	8484	4495	6550	1503	5999	1716	61	495	236	443	1116	775	115	314	0	251	36	13
286	108	3104	5099	679	79559	143183	67421	259603	6829	48555	51093	8407	3578	8759	1121	1990190	2728160	2655019	1424727	6063903	9822867	394215	1433302	1764569	1246636	2669292	5147023	378258	727386	3330332	71970	620949	291539	586240	48073	327925	378383	551923	16239	20355	17128	40514	112805	840594	1064469	504437	30200	91127	499334	239500	6173	111413	67760	94700	86223	136505	37126	78074	178209	35762	83891	74727	4690	20976	18494	4175	16760	34155	7664	3995	1765	6243	826
